#gene1	gene2	strand1(gene/fusion)	strand2(gene/fusion)	breakpoint1	breakpoint2	site1	site2	type	split_reads1	split_reads2	discordant_mates	coverage1	coverage2	confidence	reading_frame	tags	retained_protein_domains	closest_genomic_breakpoint1	closest_genomic_breakpoint2	gene_id1	gene_id2	transcript_id1	transcript_id2	direction1	direction2	filters	fusion_transcript	peptide_sequence	read_identifiers
GATAD2A	GATAD2A	+/+	+/-	chr19:19506117	chr19:19506125	3'UTR	3'UTR	inversion/3'-3'	0	0	0	2	2	low	.	.	.	.	.	ENSG00000167491.18	ENSG00000167491.18	.	.	downstream	downstream	hairpin(1)	.	.	.
ZNF567	ENSG00000291239	+/.	+/.	chr19:36707672	chr19:36882363	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000189042.14	ENSG00000291239.1	.	.	downstream	upstream	mismatches(1)	.	.	.
PRSS57(10797),PALM(2640)	PCSK4	./.	-/.	chr19:706295	chr19:1486069	intergenic	intron	deletion	0	0	0	1	3	low	.	.	.	.	.	.	ENSG00000115257.15	.	.	downstream	upstream	duplicates	.	.	.
PRSS57	PCSK4	-/.	-/.	chr19:688717	chr19:1486069	intron	intron	deletion	0	0	0	1	3	low	.	.	.	.	.	ENSG00000185198.12	ENSG00000115257.15	.	.	downstream	upstream	duplicates	.	.	.
ENSG00000283515	SLC27A5	+/.	-/.	chr19:58270490	chr19:58487039	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000283515.1	ENSG00000083807.10	.	.	downstream	upstream	mismatches	.	.	.
SUMO1P4(7971),SLC6A16(6247)	DKKL1	./.	+/.	chr19:49283391	chr19:49366134	intergenic	intron	deletion/read-through	0	0	0	3	1	low	.	.	.	.	.	.	ENSG00000104901.7	.	.	downstream	upstream	mismatches	.	.	.
TJP3	ATCAY	+/+	+/+	chr19:3732700	chr19:3926994	intron	3'UTR	deletion/read-through	0	0	0	0	3	low	.	.	.	.	.	ENSG00000105289.15	ENSG00000167654.18	.	.	downstream	upstream	duplicates(1)	.	.	.
ZNF557(3572),INSR(20715)	INSR	./.	-/.	chr19:7091540	chr19:7118158	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000171105.14	.	.	downstream	upstream	mismatches	.	.	.
COLGALT1	UNC13A	+/.	-/.	chr19:17558080	chr19:17631364	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000130309.12	ENSG00000130477.16	.	.	downstream	upstream	mismatches(1)	.	.	.
ZNF507	ANKRD27	+/.	-/.	chr19:32371404	chr19:32620485	intron	intron	deletion/read-through/5'-5'	0	0	0	1	2	low	.	.	.	.	.	ENSG00000168813.17	ENSG00000105186.16	.	.	downstream	upstream	mismatches	.	.	.
CYP2S1	PCAT19	+/.	-/.	chr19:41203153	chr19:41453458	intron	intron	deletion/read-through/5'-5'	0	0	0	1	0	low	.	.	.	.	.	ENSG00000167600.14	ENSG00000267107.9	.	.	downstream	upstream	mismatches(1)	.	.	.
TMPRSS9	GNG7	+/.	-/.	chr19:2422822	chr19:2550238	intron	intron	deletion/read-through/5'-5'	0	0	0	3	1	low	.	.	.	.	.	ENSG00000178297.15	ENSG00000176533.13	.	.	downstream	upstream	mismatches	.	.	.
PGPEP1	KXD1	+/.	+/.	chr19:18346775	chr19:18565803	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000130517.14	ENSG00000105700.11	.	.	downstream	upstream	mismatches	.	.	.
ZNF584	ZBTB45	+/.	-/.	chr19:58459254	chr19:58532690	intergenic	intron	deletion/read-through/5'-5'	0	0	0	1	0	low	.	.	.	.	.	ENSG00000171574.19	ENSG00000119574.13	.	.	downstream	upstream	mismatches(1)	.	.	.
LDLR	TSPAN16	+/.	+/.	chr19:11129324	chr19:11308858	intron	intron	deletion/read-through	0	0	0	2	1	low	.	.	.	.	.	ENSG00000130164.15	ENSG00000130167.14	.	.	downstream	upstream	mismatches(1)	.	.	.
LDLR	ENSG00000267174	+/.	-/.	chr19:11129324	chr19:11308858	intron	intron	deletion/read-through/5'-5'	0	0	0	2	1	low	.	.	.	.	.	ENSG00000130164.15	ENSG00000267174.7	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000268746	TPRX1	+/.	-/.	chr19:47796066	chr19:47816647	intergenic	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000268746.1	ENSG00000178928.9	.	.	downstream	upstream	read_through(1)	.	.	.
YJU2B	ZSWIM4	+/.	+/.	chr19:13749805	chr19:13821958	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000104957.14	ENSG00000132003.10	.	.	downstream	upstream	mismatches	.	.	.
REXO1	MKNK2(15530),MOB3A(4262)	-/.	./.	chr19:1821142	chr19:2066774	intron	intergenic	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000079313.15	.	.	.	downstream	upstream	mismatches	.	.	.
ANKRD27	CEP89	-/.	-/.	chr19:32663888	chr19:32912895	intron	intron	deletion/read-through	0	0	0	1	4	low	.	.	.	.	.	ENSG00000105186.16	ENSG00000121289.18	.	.	downstream	upstream	mismatches	.	.	.
RELB	RSPH6A	+/.	-/.	chr19:45016215	chr19:45802738	intron	intron	deletion/5'-5'	0	0	0	7	1	low	.	.	.	.	.	ENSG00000104856.15	ENSG00000104941.8	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000267557	CEP89	+/.	-/.	chr19:32671630	chr19:32912812	intron	intron	deletion/read-through/5'-5'	0	0	0	1	3	low	.	.	.	.	.	ENSG00000267557.1	ENSG00000121289.18	.	.	downstream	upstream	mismatches(1)	.	.	.
TDRD12	CEP89	+/.	-/.	chr19:32758869	chr19:32912812	intron	intron	deletion/read-through/5'-5'	0	0	0	1	3	low	.	.	.	.	.	ENSG00000173809.18	ENSG00000121289.18	.	.	downstream	upstream	mismatches(1)	.	.	.
ARHGAP35(6278),NPAS1(8482)	ZNF541	./.	-/.	chr19:47011355	chr19:47558404	intergenic	intron	deletion	0	0	0	3	2	low	.	.	.	.	.	.	ENSG00000118156.13	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000269242	RPL10P16	-/-	-/-	chr19:12643869	chr19:12643904	3'UTR	exon	duplication	0	0	0	123	123	low	.	.	.	.	.	ENSG00000269242.1	ENSG00000178464.6	.	.	upstream	downstream	same_gene	.	.	.
ZNF675(13184),ZNF681(38791)	ENSG00000233836	./.	+/.	chr19:23700404	chr19:23803810	intergenic	intron	deletion/read-through	0	0	0	1	4	low	.	.	.	.	.	.	ENSG00000233836.8	.	.	downstream	upstream	mismatches	.	.	.
ZNF675(13184),ZNF681(38791)	RPSA2	./.	+/.	chr19:23700404	chr19:23803810	intergenic	intron	deletion/read-through	0	0	0	1	4	low	.	.	.	.	.	.	ENSG00000288920.1	.	.	downstream	upstream	mismatches	.	.	.
DPRX	NLRP12	+/.	-/.	chr19:53619443	chr19:53804891	intron	intron	deletion/read-through/5'-5'	0	0	1	1	0	low	.	.	.	.	.	ENSG00000204595.3	ENSG00000142405.23	.	.	downstream	upstream	min_support	.	.	.
ENSG00000267149	TMEM150B	-/.	-/.	chr19:55029305	chr19:55319170	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000267149.2	ENSG00000180061.10	.	.	downstream	upstream	mismatches	.	.	.
GP6	TMEM150B	-/.	-/.	chr19:55029305	chr19:55319170	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000088053.11	ENSG00000180061.10	.	.	downstream	upstream	mismatches	.	.	.
ZNF565	ZNF529	-/.	-/.	chr19:36253287	chr19:36542264	intergenic	intron	deletion/read-through	0	0	0	1	0	low	.	.	.	.	.	ENSG00000196357.12	ENSG00000186020.13	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000284490	ACER1(6686),ENSG00000269802(3463)	+/.	./.	chr19:6200204	chr19:6340298	intron	intergenic	deletion/read-through	0	0	0	3	3	low	.	.	.	.	.	ENSG00000284490.1	.	.	.	downstream	upstream	mismatches	.	.	.
DNMT1	LIMASI	-/.	-/.	chr19:10216742	chr19:10281082	intron	intron	deletion/read-through	0	0	0	1	0	low	.	.	.	.	.	ENSG00000130816.17	ENSG00000266978.1	.	.	downstream	upstream	mismatches	.	.	.
TBXA2R	MATK	-/.	-/.	chr19:3599510	chr19:3795146	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000006638.13	ENSG00000007264.15	.	.	downstream	upstream	mismatches	.	.	.
EEF2	CREB3L3	-/.	+/.	chr19:3978654	chr19:4170449	intron	intron	deletion/read-through/3'-3'	0	0	0	2	2	low	.	.	.	.	.	ENSG00000167658.16	ENSG00000060566.14	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000267968	KLK4(15237),PPIAP59(447)	+/.	./.	chr19:50847119	chr19:50926632	intron	intergenic	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000267968.1	.	.	.	downstream	upstream	mismatches	.	.	.
LIMASI	PDE4A	-/.	+/.	chr19:10263281	chr19:10449540	intron	intron	deletion/read-through/3'-3'	0	0	0	1	2	low	.	.	.	.	.	ENSG00000266978.1	ENSG00000065989.16	.	.	downstream	upstream	mismatches	.	.	.
UNC13A	JAK3(6540),RPL18A(5299)	-/.	./.	chr19:17660715	chr19:17854611	intron	intergenic	deletion/read-through	0	0	0	2	1	low	.	.	.	.	.	ENSG00000130477.16	.	.	.	downstream	upstream	mismatches	.	.	.
RPS4XP21	RPS4XP20	-/-	-/-	chr19:34093004	chr19:34023065	exon	exon	deletion/read-through	0	0	0	52	42	low	.	.	.	.	.	ENSG00000186008.7	ENSG00000249987.1	.	.	upstream	downstream	mismatches	.	.	.
ENSG00000268652(2318),SIGLEC21P(997)	FPR1	./.	-/.	chr19:51197858	chr19:51801699	intergenic	intron	deletion	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000171051.10	.	.	downstream	upstream	mismatches	.	.	.
ZNF383	ZNF569	+/+	-/+	chr19:37247921	chr19:37419509	3'UTR	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000188283.12	ENSG00000196437.12	.	.	downstream	upstream	mismatches(1)	.	.	.
NUCB1-AS1	ALDH16A1	-/.	+/.	chr19:48911656	chr19:49470652	intron	3'UTR	deletion/3'-3'	0	0	0	1	5	low	.	.	.	.	.	ENSG00000235191.1	ENSG00000161618.10	.	.	downstream	upstream	mismatches	.	.	.
RUVBL2	ALDH16A1	+/.	+/.	chr19:49002815	chr19:49170420	intron	intergenic	deletion/read-through	0	0	0	2	4	low	.	.	.	.	.	ENSG00000183207.15	ENSG00000161618.10	.	.	downstream	upstream	mismatches(1)	.	.	.
RPL23AP2	RPL23AP2(35),ENSG00000266951(1090)	+/+	./+	chr19:15612076	chr19:15612157	exon	intergenic	deletion/read-through	0	0	0	107	8	low	.	.	.	.	.	ENSG00000225067.4	.	.	.	downstream	upstream	read_through	.	.	.
CHAF1A	DPP9(14633),MIR7-3HG(29725)	+/.	./.	chr19:4437919	chr19:4739306	intron	intergenic	deletion/read-through	0	0	0	3	2	low	.	.	.	.	.	ENSG00000167670.16	.	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000269026	ZNF256(5296),ENSG00000243234(156)	+/.	./.	chr19:57743795	chr19:57953002	intron	intergenic	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000269026.2	.	.	.	downstream	upstream	mismatches	.	.	.
ZFP30	SIPA1L3	-/.	+/.	chr19:37640626	chr19:38043215	intron	intron	deletion/3'-3'	0	1	0	1	1	low	.	.	.	.	.	ENSG00000120784.17	ENSG00000105738.11	.	.	downstream	upstream	min_support	.	.	.
GRIN2D	ENSG00000287603	+/.	-/.	chr19:48440849	chr19:48569833	intron	intron	deletion/read-through/5'-5'	0	0	0	2	2	low	.	.	.	.	.	ENSG00000105464.4	ENSG00000287603.1	.	.	downstream	upstream	mismatches	.	.	.
GRIN2D	SULT2B1	+/+	+/+	chr19:48440849	chr19:48569833	intron	intron	deletion/read-through	0	0	0	2	2	low	.	.	.	.	.	ENSG00000105464.4	ENSG00000088002.12	.	.	downstream	upstream	mismatches	.	.	.
RPS4XP21	RPS4XP20	-/-	-/-	chr19:34093024	chr19:34022951	exon	exon	deletion/read-through	0	0	0	41	13	low	.	.	.	.	.	ENSG00000186008.7	ENSG00000249987.1	.	.	upstream	downstream	mismatches	.	.	.
HNRNPM	HNRNPM	+/-	+/+	chr19:8485660	chr19:8474203	CDS	CDS	inversion/3'-3'	0	0	1	11	6	low	.	.	.	.	.	ENSG00000099783.13	ENSG00000099783.13	.	.	upstream	upstream	intragenic_exonic	.	.	.
ENSG00000257355	ENSG00000290812	-/-	+/-	chr19:12027261	chr19:12098928	intron	exon	deletion/read-through/3'-3'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000257355.1	ENSG00000290812.1	.	.	downstream	upstream	mismatches	.	.	.
ZNF433-AS1	ENSG00000290812	+/+	+/+	chr19:12027261	chr19:12098928	intron	exon	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000219665.8	ENSG00000290812.1	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000268746	CRX	+/.	+/.	chr19:47697667	chr19:47829564	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000268746.1	ENSG00000105392.17	.	.	downstream	upstream	mismatches	.	.	.
DDX49	SUGP2	+/.	-/.	chr19:18923936	chr19:19001128	intron	intron	deletion/read-through/5'-5'	0	0	0	2	1	low	.	.	.	.	.	ENSG00000105671.12	ENSG00000064607.17	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000268193	SUGP2	-/.	-/.	chr19:18923936	chr19:19001128	intron	intron	deletion/read-through	0	0	0	2	1	low	.	.	.	.	.	ENSG00000268193.5	ENSG00000064607.17	.	.	downstream	upstream	mismatches	.	.	.
DDX49	RN7SL70P(12835),SUGP2(19795)	+/.	./.	chr19:18923936	chr19:18971093	intron	intergenic	deletion/read-through	0	0	0	2	1	low	.	.	.	.	.	ENSG00000105671.12	.	.	.	downstream	upstream	mismatches	.	.	.
SIPA1L3	ENSG00000267375	+/.	-/.	chr19:38179939	chr19:38689796	intron	intron	deletion/5'-5'	0	0	0	2	1	low	.	.	.	.	.	ENSG00000105738.11	ENSG00000267375.1	.	.	downstream	upstream	mismatches	.	.	.
GNG7	GNA11(4094),ENSG00000266944(2624)	-/.	./.	chr19:2699245	chr19:3128093	intron	intergenic	deletion	0	0	0	2	1	low	.	.	.	.	.	ENSG00000176533.13	.	.	.	downstream	upstream	mismatches	.	.	.
GZMM(7559),BSG-AS1(4877)	DOT1L	./.	+/.	chr19:557483	chr19:2196455	intergenic	intron	deletion	0	0	0	5	1	low	.	.	.	.	.	.	ENSG00000104885.19	.	.	downstream	upstream	mismatches	.	.	.
SAE1	ENSG00000289915(1545),ENSG00000286669(9971)	+/.	./.	chr19:47185428	chr19:47245879	intron	intergenic	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000142230.13	.	.	.	downstream	upstream	mismatches	.	.	.
DMPK	MYPOP	-/.	-/.	chr19:45776215	chr19:45896704	intron	intron	deletion/read-through	0	0	0	2	3	low	.	.	.	.	.	ENSG00000104936.20	ENSG00000176182.6	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000269693	TNPO2	-/.	-/.	chr19:12561270	chr19:12704283	intron	intron	deletion/read-through	0	0	0	35	0	low	.	.	.	.	.	ENSG00000269693.1	ENSG00000105576.16	.	.	downstream	upstream	mismatches(1)	.	.	.
ZNF625-ZNF20	ENSG00000285589	-/.	-/.	chr19:12136463	chr19:12675209	intron	intron	deletion	0	0	0	2	0	low	.	.	.	.	.	ENSG00000213297.8	ENSG00000285589.1	.	.	downstream	upstream	duplicates(1)	.	.	.
ZNF20	ENSG00000285589	-/.	-/.	chr19:12136463	chr19:12675209	intron	intron	deletion	0	0	0	2	0	low	.	.	.	.	.	ENSG00000132010.16	ENSG00000285589.1	.	.	downstream	upstream	duplicates(1)	.	.	.
ZNF20	WDR83	-/.	+/.	chr19:12136463	chr19:12675209	intron	intron	deletion/3'-3'	0	0	0	2	0	low	.	.	.	.	.	ENSG00000132010.16	ENSG00000123154.12	.	.	downstream	upstream	duplicates(1)	.	.	.
ENSG00000290812	ENSG00000285589	+/.	-/.	chr19:12136463	chr19:12675209	intron	intron	deletion/5'-5'	0	0	0	2	0	low	.	.	.	.	.	ENSG00000290812.1	ENSG00000285589.1	.	.	downstream	upstream	duplicates(1)	.	.	.
ENSG00000290812	WDR83	+/.	+/.	chr19:12136463	chr19:12675209	intron	intron	deletion	0	0	0	2	0	low	.	.	.	.	.	ENSG00000290812.1	ENSG00000123154.12	.	.	downstream	upstream	duplicates(1)	.	.	.
NLRP4	NLRP5	+/.	+/.	chr19:55866192	chr19:56030885	intron	intron	deletion/read-through	0	0	0	6	1	low	.	.	.	.	.	ENSG00000160505.16	ENSG00000171487.16	.	.	downstream	upstream	mismatches	.	.	.
NLRP4	NLRP5	+/.	+/.	chr19:55866192	chr19:56021043	intron	intron	deletion/read-through	0	0	0	6	1	low	.	.	.	.	.	ENSG00000160505.16	ENSG00000171487.16	.	.	downstream	upstream	mismatches	.	.	.
ZNF569	ZFP30	-/.	-/.	chr19:37438267	chr19:37681975	intron	intron	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	ENSG00000196437.12	ENSG00000120784.17	.	.	downstream	upstream	mismatches(1)	.	.	.
ANGPTL4	MYO1F	+/.	-/.	chr19:8370097	chr19:8539491	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000167772.12	ENSG00000142347.19	.	.	downstream	upstream	mismatches(1)	.	.	.
FXYD5(26095),FAM187B(28824)	EEF1A1P7	./+	+/+	chr19:35195976	chr19:35382259	intergenic	exon	deletion/read-through	0	0	0	0	622	low	.	.	.	.	.	.	ENSG00000268222.1	.	.	downstream	upstream	mismatches(1)	.	.	.
CACTIN	ATCAY	-/.	+/.	chr19:3623421	chr19:3909986	intron	intron	deletion/read-through/3'-3'	0	0	0	1	2	low	.	.	.	.	.	ENSG00000105298.14	ENSG00000167654.18	.	.	downstream	upstream	mismatches	.	.	.
ZNF556	TLE2	+/+	-/+	chr19:2880617	chr19:3030805	3'UTR	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000172000.7	ENSG00000065717.16	.	.	downstream	upstream	mismatches	.	.	.
SEPTIN7P8(2313),ENSG00000238150(6)	ENSG00000238150	./+	+/+	chr19:53775593	chr19:53775638	intergenic	exon	deletion/read-through	0	0	0	236	335	low	.	.	.	.	.	.	ENSG00000238150.1	.	.	downstream	upstream	read_through	.	.	.
PRKACA	ASF1B	-/.	-/.	chr19:14098683	chr19:14131056	intron	intron	deletion/read-through	0	0	1	2	1	low	.	.	.	.	.	ENSG00000072062.16	ENSG00000105011.9	.	.	downstream	upstream	min_support	.	.	.
FKBP1AP1	ENSG00000269026	-/-	+/-	chr19:57826641	chr19:57733412	exon	intron	deletion/read-through/5'-5'	0	0	0	11	1	low	.	.	.	.	.	ENSG00000269304.1	ENSG00000269026.2	.	.	upstream	downstream	mismatches(1)	.	.	.
MAP2K7	NFILZ	+/+	+/+	chr19:7906654	chr19:8670807	exon	intron	deletion	0	0	0	1	1	low	.	.	.	.	.	ENSG00000076984.18	ENSG00000268480.4	.	.	downstream	upstream	mismatches	.	.	.
OPA3	PPP5D1P	-/.	-/.	chr19:45586025	chr19:46462495	intron	intergenic	deletion	0	0	0	1	2	low	.	.	.	.	.	ENSG00000125741.6	ENSG00000291145.1	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000276631(3707),RN7SL340P(6246)	VSTM2B-DT	./.	-/.	chr19:29226844	chr19:29460397	intergenic	intron	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	.	ENSG00000264515.7	.	.	downstream	upstream	mismatches	.	.	.
HOMER3-AS1(9470),RN7SL70P(1035)	BORCS8-MEF2B	./.	-/.	chr19:18956922	chr19:19151992	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000064489.23	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000286132	ZNF490	+/.	-/.	chr19:12192306	chr19:12636443	intergenic	intron	deletion/5'-5'	0	0	0	5	0	low	.	.	.	.	.	ENSG00000286132.1	ENSG00000188033.10	.	.	downstream	upstream	mismatches(1)	.	.	.
ZNF844	ZNF490	+/.	-/.	chr19:12192306	chr19:12636443	intergenic	intron	deletion/5'-5'	0	0	0	5	0	low	.	.	.	.	.	ENSG00000223547.10	ENSG00000188033.10	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000286098	ZNF490	+/.	-/.	chr19:12192306	chr19:12636443	intergenic	intron	deletion/5'-5'	0	0	0	5	0	low	.	.	.	.	.	ENSG00000286098.1	ENSG00000188033.10	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000286132	ENSG00000196826	+/.	-/.	chr19:12192306	chr19:12481029	intergenic	intron	deletion/read-through/5'-5'	0	0	0	5	0	low	.	.	.	.	.	ENSG00000286132.1	ENSG00000196826.7	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000286132	ENSG00000269755	+/.	-/.	chr19:12192306	chr19:12481029	intergenic	intron	deletion/read-through/5'-5'	0	0	0	5	0	low	.	.	.	.	.	ENSG00000286132.1	ENSG00000269755.1	.	.	downstream	upstream	mismatches(1)	.	.	.
ZNF844	ENSG00000196826	+/.	-/.	chr19:12192306	chr19:12481029	intergenic	intron	deletion/read-through/5'-5'	0	0	0	5	0	low	.	.	.	.	.	ENSG00000223547.10	ENSG00000196826.7	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000286098	ENSG00000196826	+/.	-/.	chr19:12192306	chr19:12481029	intergenic	intron	deletion/read-through/5'-5'	0	0	0	5	0	low	.	.	.	.	.	ENSG00000286098.1	ENSG00000196826.7	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000286098	ZNF709	+/.	-/.	chr19:12192306	chr19:12481029	intergenic	intron	deletion/read-through/5'-5'	0	0	0	5	0	low	.	.	.	.	.	ENSG00000286098.1	ENSG00000242852.7	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000286098	ENSG00000269755	+/.	-/.	chr19:12192306	chr19:12481029	intergenic	intron	deletion/read-through/5'-5'	0	0	0	5	0	low	.	.	.	.	.	ENSG00000286098.1	ENSG00000269755.1	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000286132	ENSG00000268870	+/.	-/.	chr19:12192306	chr19:12427132	intergenic	intron	deletion/read-through/5'-5'	0	0	0	5	1	low	.	.	.	.	.	ENSG00000286132.1	ENSG00000268870.1	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000286098	ENSG00000268870	+/.	-/.	chr19:12192306	chr19:12427132	intergenic	intron	deletion/read-through/5'-5'	0	0	0	5	1	low	.	.	.	.	.	ENSG00000286098.1	ENSG00000268870.1	.	.	downstream	upstream	mismatches(1)	.	.	.
