#gene1	gene2	strand1(gene/fusion)	strand2(gene/fusion)	breakpoint1	breakpoint2	site1	site2	type	split_reads1	split_reads2	discordant_mates	coverage1	coverage2	confidence	reading_frame	tags	retained_protein_domains	closest_genomic_breakpoint1	closest_genomic_breakpoint2	gene_id1	gene_id2	transcript_id1	transcript_id2	direction1	direction2	filters	fusion_transcript	peptide_sequence	read_identifiers
ENSG00000268650	RPL39P38(15290),LSM4(5451)	+/.	./.	chr19:18215635	chr19:18300785	intron	intergenic	deletion/read-through	0	0	0	1	0	low	.	.	.	.	.	ENSG00000268650.3	.	.	.	downstream	upstream	mismatches	.	.	.
C5AR2	CARD8	+/.	-/.	chr19:47339398	chr19:47898386	intron	intergenic	deletion/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000134830.6	ENSG00000105483.18	.	.	downstream	upstream	mismatches(1)	.	.	.
C5AR2	ZSWIM9	+/.	+/.	chr19:47339398	chr19:47898386	intron	intergenic	deletion	0	0	0	1	1	low	.	.	.	.	.	ENSG00000134830.6	ENSG00000185453.13	.	.	downstream	upstream	mismatches(1)	.	.	.
ZNF653	ZNF625(4032),ZNF136(2298)	-/.	./.	chr19:11501953	chr19:12160766	intron	intergenic	deletion	0	0	0	4	1	low	.	.	.	.	.	ENSG00000161914.10	.	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000267477	ZNF625(4032),ZNF136(2298)	-/.	./.	chr19:11501953	chr19:12160766	intron	intergenic	deletion	0	0	0	4	1	low	.	.	.	.	.	ENSG00000267477.1	.	.	.	downstream	upstream	mismatches	.	.	.
ZNF653	ECSIT	-/.	-/.	chr19:11501953	chr19:11510060	intron	intron	deletion/read-through	0	0	0	4	3	low	.	.	.	.	.	ENSG00000161914.10	ENSG00000130159.15	.	.	downstream	upstream	read_through	.	.	.
CYP4F23P(15186),ENSG00000267135(11728)	CYP4F8	./.	+/.	chr19:15599895	chr19:15621456	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000186526.13	.	.	downstream	upstream	mismatches(1)	.	.	.
CYP2S1(8252),AXL(3432)	TMEM91	./.	+/.	chr19:41215791	chr19:41375515	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000142046.15	.	.	downstream	upstream	mismatches	.	.	.
CYP2S1(8252),AXL(3432)	ENSG00000255730	./.	+/.	chr19:41215791	chr19:41375515	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000255730.5	.	.	downstream	upstream	mismatches	.	.	.
C19orf38	SMARCA4	+/.	+/.	chr19:10942552	chr19:11070828	intergenic	intron	deletion/read-through	0	0	0	1	0	low	.	.	.	.	.	ENSG00000214212.9	ENSG00000127616.22	.	.	downstream	upstream	mismatches(1)	.	.	.
MBOAT7	ENSG00000275210	-/.	-/.	chr19:54175210	chr19:54330946	intron	intron	deletion/read-through	0	0	0	3	0	low	.	.	.	.	.	ENSG00000125505.17	ENSG00000275210.1	.	.	downstream	upstream	mismatches(1)	.	.	.
NLRP12	MBOAT7	-/.	-/.	chr19:53815769	chr19:54175148	intron	intron	deletion/read-through	0	0	0	3	3	low	.	.	.	.	.	ENSG00000142405.23	ENSG00000125505.17	.	.	downstream	upstream	mismatches	.	.	.
ZNF146	ZFP14	+/.	-/.	chr19:36231989	chr19:36253761	intron	intergenic	deletion/read-through/5'-5'	0	0	0	1	0	low	.	.	.	.	.	ENSG00000167635.12	ENSG00000142065.14	.	.	downstream	upstream	read_through(1)	.	.	.
ZNF565	ZFP14	-/.	-/.	chr19:36231989	chr19:36253761	intron	intergenic	deletion/read-through	0	0	0	1	0	low	.	.	.	.	.	ENSG00000196357.12	ENSG00000142065.14	.	.	downstream	upstream	read_through(1)	.	.	.
RPL39P38	MIR3188(3180),RPL39P38(2)	-/-	./-	chr19:18285370	chr19:18285341	exon	intergenic	deletion/read-through	0	0	0	78	92	low	.	.	.	.	.	ENSG00000241464.3	.	.	.	upstream	downstream	read_through	.	.	.
ZNF543(12122),ENSG00000268678(7956)	ENSG00000268533	./.	+/.	chr19:57342892	chr19:57406022	intergenic	intron	deletion/read-through	0	0	0	2	1	low	.	.	.	.	.	.	ENSG00000268533.1	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000241069	ZNF765	+/+	+/+	chr19:53386385	chr19:53413352	exon	intron	deletion/read-through	0	0	0	89	35	low	.	.	.	.	.	ENSG00000241069.1	ENSG00000196417.13	.	.	downstream	upstream	read_through	.	.	.
ZNF525	ZNF765	+/+	+/+	chr19:53386385	chr19:53413352	3'UTR	intron	deletion/read-through	0	0	0	89	35	low	.	.	.	.	.	ENSG00000203326.12	ENSG00000196417.13	.	.	downstream	upstream	read_through	.	.	.
CERS4	MYO1F	+/.	-/.	chr19:8232833	chr19:8558278	intron	intron	deletion/read-through/5'-5'	0	0	0	0	1	low	.	.	.	.	.	ENSG00000090661.12	ENSG00000142347.19	.	.	downstream	upstream	mismatches(1)	.	.	.
CRTC1	TMEM161A	+/.	-/.	chr19:18687371	chr19:18815013	intron	intergenic	deletion/read-through/5'-5'	0	0	0	0	1	low	.	.	.	.	.	ENSG00000105662.16	ENSG00000064545.15	.	.	downstream	upstream	mismatches(1)	.	.	.
DNM2	CARM1	+/.	+/.	chr19:10814310	chr19:10910342	intron	intron	deletion/read-through	0	0	1	1	1	low	.	.	.	.	.	ENSG00000079805.19	ENSG00000142453.13	.	.	downstream	upstream	duplicates(1),min_support	.	.	.
SPINT2	LRFN1	+/.	-/.	chr19:38248865	chr19:39315645	intron	intron	deletion/5'-5'	0	0	0	1	2	low	.	.	.	.	.	ENSG00000167642.13	ENSG00000128011.5	.	.	downstream	upstream	mismatches	.	.	.
ZNF578	ZNF611	+/.	-/.	chr19:52467241	chr19:52731600	intron	intron	deletion/read-through/5'-5'	0	1	0	1	1	low	.	.	.	.	.	ENSG00000258405.11	ENSG00000213020.10	.	.	downstream	upstream	min_support	.	.	.
SAE1(7122),BBC3(3064)	BICRA	./.	+/.	chr19:47217758	chr19:47692474	intergenic	intron	deletion	0	0	1	1	1	low	.	.	.	.	.	.	ENSG00000063169.12	.	.	downstream	upstream	min_support	.	.	.
SAE1(7122),BBC3(3064)	ENSG00000268746	./.	+/.	chr19:47217758	chr19:47692474	intergenic	intron	deletion	0	0	1	1	1	low	.	.	.	.	.	.	ENSG00000268746.1	.	.	downstream	upstream	min_support	.	.	.
ENSG00000270802(1857),ENSG00000273218(4974)	OR10H1	./.	-/.	chr19:15341094	chr19:15814726	intergenic	intron	deletion	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000186723.4	.	.	downstream	upstream	mismatches	.	.	.
IL27RA	PKN1	+/.	+/.	chr19:14044800	chr19:14457184	intron	intron	deletion	0	0	0	1	1	low	.	.	.	.	.	ENSG00000104998.4	ENSG00000123143.13	.	.	downstream	upstream	mismatches	.	.	.
SEMA6B	TICAM1	-/.	-/.	chr19:4566044	chr19:4822077	intron	intron	deletion/read-through	0	0	0	1	3	low	.	.	.	.	.	ENSG00000167680.17	ENSG00000127666.11	.	.	downstream	upstream	mismatches	.	.	.
SEMA6B(12125),ENSG00000267408(27293)	TICAM1	./.	-/.	chr19:4593901	chr19:4822077	intergenic	intron	deletion/read-through	0	0	0	1	3	low	.	.	.	.	.	.	ENSG00000127666.11	.	.	downstream	upstream	mismatches	.	.	.
DPP9	TICAM1	-/.	-/.	chr19:4691793	chr19:4822077	intron	intron	deletion/read-through	0	0	0	1	3	low	.	.	.	.	.	ENSG00000142002.19	ENSG00000127666.11	.	.	downstream	upstream	mismatches	.	.	.
KDELR1	KDELR1	-/-	-/-	chr19:48384243	chr19:48384299	CDS	CDS	duplication/ITD	0	0	0	4	4	low	.	.	.	.	.	ENSG00000105438.9	ENSG00000105438.9	.	.	upstream	downstream	hairpin(1)	.	.	.
RPS4XP21	RPS4XP20	-/-	-/-	chr19:34092702	chr19:34022836	exon	exon	deletion/read-through	0	0	0	30	84	low	.	.	.	.	.	ENSG00000186008.7	ENSG00000249987.1	.	.	upstream	downstream	mismatches	.	.	.
BSG	AZU1(3979),PRTN3(5002)	+/.	./.	chr19:576608	chr19:835997	intron	intergenic	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000172270.22	.	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000283907	RBM42	+/.	+/.	chr19:35568578	chr19:35635246	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000283907.2	ENSG00000126254.12	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000268296	ZNF730(1868),ENSG00000269471(54921)	-/.	./.	chr19:22905604	chr19:23149089	intron	intergenic	deletion/read-through	0	0	1	3	3	low	.	.	.	.	.	ENSG00000268296.2	.	.	.	downstream	upstream	non_coding_neighbors	.	.	.
BTBD2	MOB3A	-/.	-/.	chr19:1995456	chr19:2094276	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000133243.10	ENSG00000172081.14	.	.	downstream	upstream	mismatches	.	.	.
RPL12P42	RPL12P42(452),CACNA1A(47202)	-/.	./.	chr19:13158180	chr19:13159240	intron	intergenic	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000213253.5	.	.	.	downstream	upstream	read_through	.	.	.
ENSG00000268362	ENSG00000268442(33174),ERVK-28(3441825)	+/.	./.	chr19:24075737	chr19:24196658	intron	intergenic	deletion/read-through	0	0	0	2	1	low	.	.	.	.	.	ENSG00000268362.6	.	.	.	downstream	upstream	mismatches	.	.	.
CADM4(4985),PLAUR(1260)	ZNF155	./.	+/.	chr19:43644835	chr19:43993586	intergenic	intron	deletion/read-through	0	0	0	2	2	low	.	.	.	.	.	.	ENSG00000204920.11	.	.	downstream	upstream	mismatches	.	.	.
CYP2G1P(3062),CYP2B7P(8800)	PCAT19	./.	-/.	chr19:40915419	chr19:41489134	intergenic	intron	deletion	0	0	0	3	6	low	.	.	.	.	.	.	ENSG00000267107.9	.	.	downstream	upstream	mismatches	.	.	.
CYP2A13(5095),CYP2F1(13142)	PCAT19	./.	-/.	chr19:41101290	chr19:41489134	intergenic	intron	deletion/read-through	0	0	0	2	6	low	.	.	.	.	.	.	ENSG00000267107.9	.	.	downstream	upstream	mismatches	.	.	.
ZNF69	ZNF44	+/.	-/.	chr19:11900420	chr19:12262394	intron	intron	deletion/read-through/5'-5'	0	0	0	2	1	low	.	.	.	.	.	ENSG00000198429.10	ENSG00000197857.16	.	.	downstream	upstream	mismatches	.	.	.
AP2S1	BICRA	-/.	+/.	chr19:46840785	chr19:47697601	intron	intron	deletion/3'-3'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000042753.12	ENSG00000063169.12	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000269535	ZNF600	-/.	-/.	chr19:52320677	chr19:52763456	intron	intron	deletion	0	0	0	1	1	low	.	.	.	.	.	ENSG00000269535.1	ENSG00000189190.11	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000268119	ENSG00000269373(47537),ZNF85(28268)	-/-	./-	chr19:21448271	chr19:20894954	exon	intergenic	deletion	0	0	0	2	2	low	.	.	.	.	.	ENSG00000268119.8	.	.	.	upstream	downstream	mismatches	.	.	.
HNRNPMP2(13397),ENSG00000269014(3315)	SAE1	./.	+/.	chr19:46823580	chr19:47155603	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000142230.13	.	.	downstream	upstream	mismatches	.	.	.
EXOSC3P2	KANK3	-/.	-/.	chr19:8268171	chr19:8331116	intergenic	intron	deletion/read-through	0	0	0	2	2	low	.	.	.	.	.	ENSG00000269763.1	ENSG00000186994.12	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000290088	KANK3	+/.	-/.	chr19:8268171	chr19:8331116	intergenic	intron	deletion/read-through/5'-5'	0	0	0	2	2	low	.	.	.	.	.	ENSG00000290088.1	ENSG00000186994.12	.	.	downstream	upstream	mismatches(1)	.	.	.
NUCB1	NUCB1	+/+	+/+	chr19:48923161	chr19:48923090	3'UTR	3'UTR	duplication/ITD	0	0	0	7	7	low	.	.	.	.	.	ENSG00000104805.17	ENSG00000104805.17	.	.	downstream	upstream	small_insert_size	.	.	.
TNNT1	HSPBP1	-/.	-/.	chr19:55141659	chr19:55267312	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000105048.18	ENSG00000133265.11	.	.	downstream	upstream	mismatches	.	.	.
SULT2B1	TULP2	+/.	-/.	chr19:48571339	chr19:48786162	intron	intergenic	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000088002.12	ENSG00000104804.9	.	.	downstream	upstream	mismatches(1)	.	.	.
KANK3	MYO1F	-/.	-/.	chr19:8330582	chr19:8555040	intron	intron	deletion/read-through	0	0	0	2	1	low	.	.	.	.	.	ENSG00000186994.12	ENSG00000142347.19	.	.	downstream	upstream	mismatches(1)	.	.	.
RPSA2	RNA5-8SP4(18648),ENSG00000268362(10246)	+/.	./.	chr19:23780428	chr19:24023155	intron	intergenic	deletion/read-through	0	0	0	2	1	low	.	.	.	.	.	ENSG00000288920.1	.	.	.	downstream	upstream	mismatches(1)	.	.	.
ZNF383	ZNF793	+/.	+/.	chr19:37225930	chr19:37515303	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000188283.12	ENSG00000188227.14	.	.	downstream	upstream	mismatches	.	.	.
LDLR	ECSIT(2622),CNN1(6973)	+/+	./+	chr19:11132507	chr19:11531794	3'UTR	intergenic	deletion/read-through	0	0	1	2	2	low	.	.	.	.	.	ENSG00000130164.15	.	.	.	downstream	upstream	min_support	.	.	.
RPS4XP21	RPS4XP20	-/-	-/-	chr19:34093116	chr19:34023246	exon	exon	deletion/read-through	0	0	0	110	13	low	.	.	.	.	.	ENSG00000186008.7	ENSG00000249987.1	.	.	upstream	downstream	mismatches	.	.	.
RCN3	TSKS	+/.	-/.	chr19:49531995	chr19:49750458	intron	intron	deletion/read-through/5'-5'	0	0	0	2	1	low	.	.	.	.	.	ENSG00000142552.8	ENSG00000126467.11	.	.	downstream	upstream	mismatches	.	.	.
TMEM143	FAM83E	-/.	-/.	chr19:48357081	chr19:48604508	intron	intron	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	ENSG00000161558.11	ENSG00000105523.4	.	.	downstream	upstream	mismatches	.	.	.
UNC13A(19406),MAP1S(11471)	MAP1S	./+	+/+	chr19:17707771	chr19:17728725	intergenic	intron	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	.	ENSG00000130479.11	.	.	downstream	upstream	duplicates	.	.	.
ENSG00000268442(3132590),ERVK-28(342409)	ENSG00000290593	./.	+/.	chr19:27296074	chr19:27945479	intergenic	intron	deletion	0	0	0	1	3	low	.	.	.	.	.	.	ENSG00000290593.1	.	.	downstream	upstream	mismatches	.	.	.
LINC00662	ENSG00000290593	-/.	+/.	chr19:27697231	chr19:27945479	intron	intron	deletion/read-through/3'-3'	0	0	0	1	3	low	.	.	.	.	.	ENSG00000261824.8	ENSG00000290593.1	.	.	downstream	upstream	mismatches	.	.	.
LINC00662	LINC02987	-/.	+/.	chr19:27697231	chr19:27945479	intron	intron	deletion/read-through/3'-3'	0	0	0	1	3	low	.	.	.	.	.	ENSG00000261824.8	ENSG00000267575.9	.	.	downstream	upstream	mismatches	.	.	.
DPY19L3(4928),PDCD5(90367)	ANKRD27	./.	-/.	chr19:32490823	chr19:32606943	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000105186.16	.	.	downstream	upstream	low_entropy	.	.	.
NDUFA11	RANBP3-DT	-/.	+/.	chr19:5899699	chr19:6016599	intron	intron	deletion/read-through/3'-3'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000174886.14	ENSG00000266983.3	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000267740	RANBP3-DT	-/.	+/.	chr19:5899699	chr19:6016599	intron	intron	deletion/read-through/3'-3'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000267740.5	ENSG00000266983.3	.	.	downstream	upstream	mismatches	.	.	.
ATCAY	CREB3L3	+/.	+/.	chr19:3919103	chr19:4163132	intron	intron	deletion/read-through	0	0	0	2	3	low	.	.	.	.	.	ENSG00000167654.18	ENSG00000060566.14	.	.	downstream	upstream	mismatches(2)	.	.	.
SUGP2	NCAN	-/.	+/.	chr19:19027870	chr19:19233144	intron	intron	deletion/read-through/3'-3'	0	0	0	1	2	low	.	.	.	.	.	ENSG00000064607.17	ENSG00000130287.14	.	.	downstream	upstream	mismatches	.	.	.
ZNF525	ZNF765	+/+	+/+	chr19:53386423	chr19:53413364	3'UTR	intron	deletion/read-through	0	0	0	28	30	low	.	.	.	.	.	ENSG00000203326.12	ENSG00000196417.13	.	.	downstream	upstream	read_through	.	.	.
URI1	ZNF536	+/.	+/.	chr19:29989493	chr19:30321849	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000105176.18	ENSG00000198597.10	.	.	downstream	upstream	mismatches(1)	.	.	.
ASF1B	ENSG00000267723	-/.	-/.	chr19:14131663	chr19:14281132	intron	intron	deletion/read-through	0	0	0	1	2	low	.	.	.	.	.	ENSG00000105011.9	ENSG00000267723.1	.	.	downstream	upstream	mismatches	.	.	.
ARRDC5	PTPRS	-/.	-/.	chr19:4899133	chr19:5167347	intron	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000205784.4	ENSG00000105426.19	.	.	downstream	upstream	mismatches	.	.	.
YJU2B	C19orf53(13680),ZSWIM4(2990)	+/.	./.	chr19:13733083	chr19:13792453	intron	intergenic	deletion/read-through	0	1	0	1	1	low	.	.	.	.	.	ENSG00000104957.14	.	.	.	downstream	upstream	min_support	.	.	.
CHERP	TMEM38A	-/.	+/.	chr19:16538618	chr19:16666889	intron	intron	deletion/read-through/3'-3'	0	0	0	2	2	low	.	.	.	.	.	ENSG00000085872.15	ENSG00000072954.7	.	.	downstream	upstream	mismatches(2)	.	.	.
RPL10P16	RPL10P16	-/-	-/-	chr19:12643492	chr19:12643584	exon	exon	duplication/ITD	0	0	0	153	132	low	.	.	.	.	.	ENSG00000178464.6	ENSG00000178464.6	.	.	upstream	downstream	hairpin(1)	.	.	.
CCDC124	CCDC124	+/+	+/+	chr19:17942727	chr19:17942668	CDS	CDS	duplication/ITD	0	0	0	10	16	low	.	.	.	.	.	ENSG00000007080.11	ENSG00000007080.11	.	.	downstream	upstream	hairpin(1)	.	.	.
ZNF675	ZNF254	-/.	+/.	chr19:23618200	chr19:24114225	intron	intron	deletion/3'-3'	0	0	0	2	1	low	.	.	.	.	.	ENSG00000197372.10	ENSG00000213096.11	.	.	downstream	upstream	duplicates(1)	.	.	.
ZNF675	ENSG00000268442(72494),ERVK-28(3402505)	-/.	./.	chr19:23618224	chr19:24235978	intron	intergenic	deletion	0	0	0	1	2	low	.	.	.	.	.	ENSG00000197372.10	.	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000267243	MAN1A2P1(50266),ENSG00000267617(26370)	-/.	./.	chr19:28497604	chr19:28843137	intron	intergenic	deletion/read-through	0	0	0	4	4	low	.	.	.	.	.	ENSG00000267243.6	.	.	.	downstream	upstream	mismatches	.	.	.
ENSG00000266893	LINC01532	-/.	+/.	chr19:28843195	chr19:29006165	intergenic	intron	deletion/read-through/3'-3'	0	0	0	4	0	low	.	.	.	.	.	ENSG00000266893.1	ENSG00000267014.6	.	.	downstream	upstream	mismatches(1)	.	.	.
ENSG00000283403	LINC01532	-/.	+/.	chr19:28843195	chr19:29006165	intergenic	intron	deletion/read-through/3'-3'	0	0	0	4	0	low	.	.	.	.	.	ENSG00000283403.1	ENSG00000267014.6	.	.	downstream	upstream	mismatches(1)	.	.	.
